Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTransactions,10,2,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTransaction,9,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTransaction,11,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTransaction,10,1,3
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createNote,10,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,getNote,7,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateNote,15,3,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateNoteRelations,13,1,4
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteNote,7,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTasks,72,1,3
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,addRecurringTasks,15,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,moveTasks,27,1,5
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTaskRelations,13,1,4
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTask,12,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareTask,21,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,shareLink,58,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTaskContent,5,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,createTaskContent,23,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,getTaskContents,10,2,3
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateTask,11,1,7
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteTask,4,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,deleteProject,11,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,answerNotifications,15,2,0
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,validateNotificationResponseEtagMatch,6,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectRelations,12,1,3
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProjectRelations,54,1,6
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,validateProjectResponseEtagMatch,8,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,validateProjectResponseEtagNotMatch,8,1,2
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,testProjectSetting,17,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,testGetProjectSettingsMultiple,26,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,updateProject,14,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,getNotifications,7,1,1
BulletJournal,com.bulletjournal.controller,ProjectControllerTest,getGroups,7,1,0
